"id","name","province_name","aliases_csv"
R80302824,Mehar,Sindh,""
R80302663,Mehmood Kot,Punjab,""
R80302880,Mehrabpur,Sindh,""
R80302950,Loralai,Balochistan,""
R80302985,Miran Shah,Federally Administered Tribal Areas,""
R80302815,Mirokhan,Sindh,""
R80302949,Mirpur A.K.,Azad Kashmir,""
R80302843,Mirpur Khas,Sindh,""
R6087709,Mirpur Sakro,Sindh,""
R80306604,Mitha Tiwana,Punjab,""
R6109508,Mithi,Sindh,""
R80302474,Mitro,Punjab,""
R80302636,More Emin Abad,Punjab,""
R80302819,Moro,Sindh,""
R80302485,Mubarakpur,Punjab,""
R80302723,Mulhal Mughlan,Punjab,""
MRG-CITY-63fe917f-6da,Multan,Punjab,""
R80316272,Muridke,Punjab,""
R80302604,Murree,Punjab,""
R80302464,Muslimabad,Punjab,""
R80302677,Nankana Sahib,Punjab,""
R80302711,Narowal,Punjab,""
R80302655,Naseera,Punjab,""
R80302785,Naudero,Punjab,""
R80302591,Nizamabad,Punjab,""
R80302768,Minchinabad,Punjab,""
R80302484,Nowshera Virkan,Punjab,""
MRG-CITY-abd09de7-ffa,Okara,Punjab,""
R80302930,Pacca Chang,Sindh,""
R80302582,Padhrar,Punjab,""
R80302341,Pakhwal,Khyber Pakhtunkhwa,""
R80302607,Pak Pattan,Punjab,""
R80302946,Pallandri,Azad Kashmir,""
R80302975,Panj Gur,Balochistan,""
R80302897,Panno Aqil,Sindh,""
R80302388,Para Chinar,Khyber Pakhtunkhwa,""
RPK40,Pattoki,Punjab,""
MRG-CITY-ad3938b4-67e,Peshawar,Khyber Pakhtunkhwa,""
R80302836,Phulji Station,Sindh,""
R80302728,Phularwan,Punjab,""
R80302708,Pind Dadan Khan,Punjab,""
RPK11,Pindi Bhattian,Punjab,""
R80302584,Pindi Gheb,Punjab,""
R80302831,Pir Jo Goth,Sindh,""
R80302577,Pir Mahal,Punjab,""
R80302981,Pishin,Balochistan,""
R80302968,Nushki,Balochistan,""
R80302322,Rashakai,Khyber Pakhtunkhwa,""
R80306602,Qaidabad,Punjab,""
R80302389,Qalander Abad,Khyber Pakhtunkhwa,""
R80302871,Qazi Ahmad,Sindh,""
RPK36,Qila Saifullah,Balochistan,""
MRG-CITY-df7e4f48-ea3,Quetta,Balochistan,""
R80302699,Rahim Yar Khan,Punjab,""
R80302597,Raiwind,Punjab,""
R80302841,Radhan,Sindh,""
R80302537,Rajana,Punjab,""
R80302863,Sakrand,Sindh,""
R80302900,Samaro,Sindh,""
MRG-CITY-4491224e-ce0,Rawalpindi,Punjab,""
R80302329,Risalpur,Khyber Pakhtunkhwa,""
R80302849,Rohri,Sindh,""
R80302799,Sadiqabad,Punjab,""
R80302565,Sahiwal,Punjab,""
R80302685,Rajanpur,Punjab,""
R80302509,Rangoo,Punjab,""
R80302821,Talhar,Sindh,""
R80302698,Talwandi,Punjab,""
R80302392,Qadir Abad,Punjab,""
RPK8,Sanghar,Sindh,""
RPK13,Sangla Hill,Punjab,""
R80302430,Shadan Lund,Punjab,""
R80302935,Shahdad Kot,Sindh,""
R80302806,Shahdadpur,Sindh,""
R80302539,Shahdara,Punjab,""
R80302492,Shahpur,Punjab,""
R80302907,Shahpur Chakar,Sindh,""
RPK1704,Shakar Garh,Punjab,""
R80302625,Sheikhupura,Punjab,""
RPK41,Shorkot,Punjab,""
R80302740,Shujaabad,Punjab,""
MRG-CITY-30a543d6-c3e,Sialkot,Punjab,""
R80306594,Sillanwali,Punjab,""
R80302872,Singhoro,Sindh,""
R80302991,Skardu,Gilgit-Baltistan,""
R80302803,Sobho Dero,Sindh,""
R80302955,Sui,Balochistan,""
R80302916,Sujawal,Sindh,""
R80302884,Tando Adam,Sindh,""
R80302491,Sanawan,Punjab,""
R80302807,Tando Bagho,Sindh,""
R80302576,Sambrial,Punjab,""
R80302899,Tando Allahyar,Sindh,""
R80302927,Tando Jam,Sindh,""
R80302292,Tank,Khyber Pakhtunkhwa,""
R80302445,Taxila,Punjab,""
R80302859,Thana Bola Khan,Sindh,""
R80302406,Toba Tek Singh,Punjab,""
R80302279,Topi,Khyber Pakhtunkhwa,""
R80302864,Thari Mirwah,Sindh,""
RPK63,Thatta,Sindh,""
R80302958,Turbat,Balochistan,""
R80302616,Uch Sharif,Punjab,""
R80302307,Umarzai,Khyber Pakhtunkhwa,""
R80302310,Upper Dir,Khyber Pakhtunkhwa,""
R80302978,Usta Mohammad,Balochistan,""
R80302973,Uthal,Balochistan,""
R80302626,Begowal,Punjab,""
R80302695,Vehari,Punjab,""
R80302499,Wah,Punjab,""
R80302710,Vanjari,Punjab,""
R80302481,Wasu,Punjab,""
R80302613,Wazirabad,Punjab,""
R80302325,Dakota,Khyber Pakhtunkhwa,""
R80302923,Garhi Khairo,Sindh,""
MRG-CITY-afbf7b45-be1,Hyderabad,Sindh,""
R80302773,Joharabad,Punjab,""
MRG-CITY-381995ac-602,Bahawalpur,Punjab,""
R80302962,Zhob,Balochistan,""
R80302842,Thul,Sindh,""
R80302330,Abbottabad,Khyber Pakhtunkhwa,""
R80302463,Abdul Hakim,Punjab,""
